Date,Open,High,Low,Close,Adj Close,Volume
2017-12-01,445.209015,881.943970,414.411011,756.732971,756.732971,79862276544
2018-01-01,755.757019,1432.880005,742.004028,1118.310059,1118.310059,163610220288
2018-02-01,1119.369995,1161.349976,574.419006,855.198975,855.198975,83393441152
2018-03-01,856.012024,880.302002,368.632996,396.457001,396.457001,53716179584
2018-04-01,397.253998,708.875000,363.804993,669.924011,669.924011,60669918656
2018-05-01,670.463013,835.057007,512.552002,577.645020,577.645020,81752720256
2018-06-01,578.671997,624.513000,407.946991,455.179993,455.179993,55077550208
2018-07-01,455.242004,513.432983,422.809998,433.867004,433.867004,52395320112
2018-08-01,433.868988,435.457001,254.649994,283.003998,283.003998,49073240000
2018-09-01,283.496002,301.144012,170.257004,232.848007,232.848007,55203910000
2018-10-01,233.220001,234.145004,188.707001,197.380997,197.380997,44459810000
2018-11-01,197.537003,221.651993,101.769997,113.171417,113.171417,59375107547
2018-12-01,113.397758,157.668701,82.829887,133.368256,133.368256,72329895639
2019-01-01,133.418152,160.824890,103.336464,107.061012,107.061012,85054975141
2019-02-01,107.147682,165.549622,102.934563,136.746246,136.746246,101430995445
2019-03-01,136.836243,149.613235,125.402702,141.514099,141.514099,138882123600
2019-04-01,141.465485,184.377853,140.737564,162.166031,162.166031,204556824026
2019-05-01,162.186554,287.201630,159.660217,268.113556,268.113556,314349041886
2019-06-01,268.433350,361.398682,229.257431,290.695984,290.695984,270589672710
2019-07-01,290.268494,318.223114,193.990417,218.654144,218.654144,249663340219
2019-08-01,218.554596,239.115906,167.071411,172.469788,172.469788,203391541658
2019-09-01,172.458405,222.871689,157.130325,179.872208,179.872208,223404691299
2019-10-01,180.209122,195.942505,157.463425,183.966919,183.966919,251679512754
2019-11-01,183.803696,193.547256,133.802338,152.539688,152.539688,252844958892
2019-12-01,152.491928,153.155396,119.780060,129.610855,129.610855,247117483830
2020-01-01,129.630661,186.260483,126.490021,180.160172,180.160172,327976431869
2020-02-01,180.113770,287.123688,179.745178,219.848511,219.848511,578092481246
2020-03-01,219.752686,249.978485,95.184303,133.593567,133.593567,498921414458
2020-04-01,133.612320,227.529694,129.730942,207.602051,207.602051,532158870567
2020-05-01,207.901733,244.045258,180.718338,230.975708,230.975708,505593287696
2020-06-01,230.860260,252.222000,219.472672,226.315002,226.315002,252220724156
2020-07-01,226.134583,348.611359,224.544495,345.554657,345.554657,251431946993
2020-08-01,345.798615,444.577759,343.587433,435.079742,435.079742,374122796720
2020-09-01,434.874451,487.211884,316.774353,359.937866,359.937866,518354378929
2020-10-01,360.309143,420.141663,334.545563,386.590332,386.590332,416749195873
2020-11-01,386.590332,621.173401,371.312744,614.842529,614.842529,487476388045
2020-12-01,615.070313,754.303223,532.998413,737.803406,737.803406,470673397126
2021-01-01,737.708374,1467.784912,718.109497,1314.986206,1314.986206,1181644236261
2021-02-01,1314.855225,2036.286499,1274.357788,1416.048950,1416.048950,1007718046121
2021-03-01,1417.151123,1947.837769,1416.416138,1918.362061,1918.362061,730832219123
2021-04-01,1919.157227,2797.972412,1912.178467,2773.207031,2773.207031,995334204881
2021-05-01,2772.838379,4362.350586,1737.468750,2714.945313,2714.945313,1510329786014
2021-06-01,2707.560547,2891.254883,1707.600586,2274.547607,2274.547607,813523116983
2021-07-01,2274.397461,2551.161133,1722.050781,2536.209961,2536.209961,591738936958
