timestamp,volume,null,gpu_name
1604908800000,0,,gtx 960
1605513600000,1,,gtx 960
1606118400000,0,,gtx 960
1606723200000,0,,gtx 960
1607328000000,0,,gtx 960
1607932800000,1,,gtx 960
1608537600000,0,,gtx 960
1609142400000,1,,gtx 960
1609747200000,1,,gtx 960
1610352000000,2,,gtx 960
1610956800000,1,,gtx 960
1611561600000,1,,gtx 960
1612166400000,0,,gtx 960
1612771200000,1,,gtx 960
1613376000000,0,,gtx 960
1613980800000,3,,gtx 960
1614585600000,1,,gtx 960
1615190400000,3,,gtx 960
1615791600000,1,,gtx 960
1616396400000,1,,gtx 960
1617001200000,0,,gtx 960
1617606000000,2,,gtx 960
1618210800000,2,,gtx 960
1618815600000,1,,gtx 960
1619420400000,1,,gtx 960
1620025200000,0,,gtx 960
1620630000000,0,,gtx 960
1621234800000,1,,gtx 960
1621839600000,1,,gtx 960
1622444400000,2,,gtx 960
1623049200000,1,,gtx 960
1623654000000,1,,gtx 960
1624258800000,1,,gtx 960
1624863600000,0,,gtx 960
1625468400000,0,,gtx 960
1626073200000,1,,gtx 960
1626678000000,1,,gtx 960
1627282800000,0,,gtx 960
1627887600000,0,,gtx 960
1628492400000,0,,gtx 960
1629097200000,1,,gtx 960
1629702000000,0,,gtx 960
1630306800000,0,,gtx 960
1630911600000,1,,gtx 960
1631516400000,0,,gtx 960
1632121200000,3,,gtx 960
1632726000000,0,,gtx 960
1633330800000,1,,gtx 960
1633935600000,1,,gtx 960
1634540400000,0,,gtx 960
1635145200000,1,,gtx 960
1635750000000,0,,gtx 960
1636358400000,0,,gtx 960
1636963200000,1,,gtx 960
1637568000000,3,,gtx 960
1638172800000,0,,gtx 960
1638777600000,0,,gtx 960
1639382400000,0,,gtx 960
1639987200000,1,,gtx 960
1640592000000,0,,gtx 960
1641196800000,0,,gtx 960
1641801600000,0,,gtx 960
1642406400000,1,,gtx 960
1643011200000,0,,gtx 960
1643616000000,0,,gtx 960
1644220800000,0,,gtx 960
1644825600000,2,,gtx 960
1645430400000,0,,gtx 960
1646035200000,0,,gtx 960
1646640000000,1,,gtx 960
1647241200000,0,,gtx 960
1647846000000,0,,gtx 960
1648450800000,0,,gtx 960
1649055600000,0,,gtx 960
1649660400000,0,,gtx 960
1650265200000,0,,gtx 960
1650870000000,0,,gtx 960
1651474800000,0,,gtx 960
1652079600000,1,,gtx 960
1652684400000,0,,gtx 960
1653289200000,0,,gtx 960
1653894000000,0,,gtx 960
1654498800000,0,,gtx 960
1655103600000,0,,gtx 960
1655708400000,0,,gtx 960
1656313200000,0,,gtx 960
1656918000000,0,,gtx 960
1657522800000,0,,gtx 960
1658127600000,0,,gtx 960
1658732400000,0,,gtx 960
1659337200000,0,,gtx 960
1659942000000,1,,gtx 960
1660546800000,0,,gtx 960
1661151600000,0,,gtx 960
1661756400000,0,,gtx 960
1662361200000,0,,gtx 960
1662966000000,0,,gtx 960
1663570800000,0,,gtx 960
1664175600000,0,,gtx 960
1664780400000,1,,gtx 960
1665385200000,0,,gtx 960
1665990000000,0,,gtx 960
1666594800000,0,,gtx 960
1667199600000,0,,gtx 960
1667808000000,0,,gtx 960
1668412800000,0,,gtx 960
1669017600000,0,,gtx 960
1669622400000,0,,gtx 960
1670227200000,0,,gtx 960
1670832000000,0,,gtx 960
1671436800000,0,,gtx 960
1672041600000,0,,gtx 960
1672646400000,0,,gtx 960
1673251200000,0,,gtx 960
1673856000000,1,,gtx 960
