timestamp,price,null,model
1604908800000,165.0,,Ryzen 7 1700X
1605513600000,194.96,,Ryzen 7 1700X
1606118400000,194.96,,Ryzen 7 1700X
1606723200000,194.96,,Ryzen 7 1700X
1607328000000,244.96,,Ryzen 7 1700X
1607932800000,199.5,,Ryzen 7 1700X
1608537600000,199.5,,Ryzen 7 1700X
1609142400000,242.72,,Ryzen 7 1700X
1609747200000,242.72,,Ryzen 7 1700X
1610352000000,229.0,,Ryzen 7 1700X
1610956800000,165.0,,Ryzen 7 1700X
1611561600000,165.0,,Ryzen 7 1700X
1612166400000,152.4,,Ryzen 7 1700X
1612771200000,152.4,,Ryzen 7 1700X
1613376000000,152.4,,Ryzen 7 1700X
1613980800000,190.0,,Ryzen 7 1700X
1614585600000,190.0,,Ryzen 7 1700X
1615190400000,219.99,,Ryzen 7 1700X
1615791600000,219.99,,Ryzen 7 1700X
1616396400000,210.0,,Ryzen 7 1700X
1617001200000,179.99,,Ryzen 7 1700X
1617606000000,179.99,,Ryzen 7 1700X
1618210800000,260.0,,Ryzen 7 1700X
1618815600000,260.0,,Ryzen 7 1700X
1619420400000,260.0,,Ryzen 7 1700X
1620025200000,199.5,,Ryzen 7 1700X
1620630000000,162.5,,Ryzen 7 1700X
1621234800000,162.5,,Ryzen 7 1700X
1621839600000,162.5,,Ryzen 7 1700X
1622444400000,162.5,,Ryzen 7 1700X
1623049200000,162.5,,Ryzen 7 1700X
1623654000000,162.5,,Ryzen 7 1700X
1624258800000,162.5,,Ryzen 7 1700X
1624863600000,162.5,,Ryzen 7 1700X
1625468400000,245.0,,Ryzen 7 1700X
1626073200000,245.0,,Ryzen 7 1700X
1626678000000,245.0,,Ryzen 7 1700X
1627282800000,245.0,,Ryzen 7 1700X
1627887600000,245.0,,Ryzen 7 1700X
1628492400000,168.61,,Ryzen 7 1700X
1629097200000,135.0,,Ryzen 7 1700X
1629702000000,164.75,,Ryzen 7 1700X
1630306800000,164.75,,Ryzen 7 1700X
1630911600000,180.0,,Ryzen 7 1700X
1631516400000,180.0,,Ryzen 7 1700X
1632121200000,199.99,,Ryzen 7 1700X
1632726000000,199.99,,Ryzen 7 1700X
1633330800000,199.99,,Ryzen 7 1700X
1633935600000,199.99,,Ryzen 7 1700X
1634540400000,199.99,,Ryzen 7 1700X
1635145200000,199.99,,Ryzen 7 1700X
1635750000000,199.99,,Ryzen 7 1700X
1636358400000,199.99,,Ryzen 7 1700X
1636963200000,199.99,,Ryzen 7 1700X
1637568000000,199.99,,Ryzen 7 1700X
1638172800000,199.99,,Ryzen 7 1700X
1638777600000,189.83,,Ryzen 7 1700X
1639382400000,235.0,,Ryzen 7 1700X
1639987200000,235.0,,Ryzen 7 1700X
1640592000000,235.0,,Ryzen 7 1700X
1641196800000,235.0,,Ryzen 7 1700X
1641801600000,235.0,,Ryzen 7 1700X
1642406400000,235.0,,Ryzen 7 1700X
1643011200000,235.0,,Ryzen 7 1700X
1643616000000,235.0,,Ryzen 7 1700X
1644220800000,235.0,,Ryzen 7 1700X
1644825600000,235.0,,Ryzen 7 1700X
1645430400000,235.0,,Ryzen 7 1700X
1646035200000,235.0,,Ryzen 7 1700X
1646640000000,235.0,,Ryzen 7 1700X
1647241200000,235.0,,Ryzen 7 1700X
1647846000000,235.0,,Ryzen 7 1700X
1648450800000,235.0,,Ryzen 7 1700X
1649055600000,235.0,,Ryzen 7 1700X
1649660400000,160.0,,Ryzen 7 1700X
1650265200000,160.0,,Ryzen 7 1700X
1650870000000,160.0,,Ryzen 7 1700X
1651474800000,160.0,,Ryzen 7 1700X
1652079600000,160.0,,Ryzen 7 1700X
1652684400000,160.0,,Ryzen 7 1700X
1653289200000,160.0,,Ryzen 7 1700X
1653894000000,160.0,,Ryzen 7 1700X
1654498800000,160.0,,Ryzen 7 1700X
1655103600000,160.0,,Ryzen 7 1700X
1655708400000,160.0,,Ryzen 7 1700X
1656313200000,160.0,,Ryzen 7 1700X
1656918000000,160.0,,Ryzen 7 1700X
1657522800000,160.0,,Ryzen 7 1700X
1658127600000,160.0,,Ryzen 7 1700X
1658732400000,160.0,,Ryzen 7 1700X
1659337200000,160.0,,Ryzen 7 1700X
1659942000000,160.0,,Ryzen 7 1700X
1660546800000,160.0,,Ryzen 7 1700X
1661151600000,160.0,,Ryzen 7 1700X
1661756400000,160.0,,Ryzen 7 1700X
1662361200000,160.0,,Ryzen 7 1700X
1662966000000,160.0,,Ryzen 7 1700X
1663570800000,160.0,,Ryzen 7 1700X
1664175600000,160.0,,Ryzen 7 1700X
1664780400000,160.0,,Ryzen 7 1700X
1665385200000,160.0,,Ryzen 7 1700X
1665990000000,160.0,,Ryzen 7 1700X
1666594800000,160.0,,Ryzen 7 1700X
1667199600000,160.0,,Ryzen 7 1700X
1667808000000,160.0,,Ryzen 7 1700X
1668412800000,160.0,,Ryzen 7 1700X
1669017600000,160.0,,Ryzen 7 1700X
1669622400000,160.0,,Ryzen 7 1700X
1670227200000,160.0,,Ryzen 7 1700X
1670832000000,160.0,,Ryzen 7 1700X
1671436800000,124.99,,Ryzen 7 1700X
1672041600000,124.99,,Ryzen 7 1700X
1672646400000,124.99,,Ryzen 7 1700X
1673251200000,124.99,,Ryzen 7 1700X
1673856000000,124.99,,Ryzen 7 1700X
1674460800000,124.99,,Ryzen 7 1700X
1675065600000,124.99,,Ryzen 7 1700X
1675670400000,124.99,,Ryzen 7 1700X
1676275200000,124.99,,Ryzen 7 1700X
1676880000000,124.99,,Ryzen 7 1700X
1677484800000,124.99,,Ryzen 7 1700X
1678089600000,124.99,,Ryzen 7 1700X
1678690800000,124.99,,Ryzen 7 1700X
1679295600000,124.99,,Ryzen 7 1700X
1679900400000,124.99,,Ryzen 7 1700X
1680505200000,124.99,,Ryzen 7 1700X
1681110000000,124.99,,Ryzen 7 1700X
1681714800000,124.99,,Ryzen 7 1700X
1682319600000,124.99,,Ryzen 7 1700X
1682924400000,124.99,,Ryzen 7 1700X
1683529200000,124.99,,Ryzen 7 1700X
1684134000000,124.99,,Ryzen 7 1700X
1684738800000,124.99,,Ryzen 7 1700X
1685343600000,124.99,,Ryzen 7 1700X
1685948400000,124.99,,Ryzen 7 1700X
1686553200000,124.99,,Ryzen 7 1700X
1687158000000,124.99,,Ryzen 7 1700X
1687762800000,124.99,,Ryzen 7 1700X
1688367600000,124.99,,Ryzen 7 1700X
1688972400000,124.99,,Ryzen 7 1700X
1689577200000,124.99,,Ryzen 7 1700X
1690182000000,124.99,,Ryzen 7 1700X
1690786800000,124.99,,Ryzen 7 1700X
1691391600000,124.99,,Ryzen 7 1700X
1691996400000,124.99,,Ryzen 7 1700X
1692601200000,124.99,,Ryzen 7 1700X
1693206000000,124.99,,Ryzen 7 1700X
1693810800000,124.99,,Ryzen 7 1700X
1694415600000,124.99,,Ryzen 7 1700X
1695020400000,124.99,,Ryzen 7 1700X
1695625200000,124.99,,Ryzen 7 1700X
1696230000000,124.99,,Ryzen 7 1700X
1696834800000,124.99,,Ryzen 7 1700X
1697439600000,124.99,,Ryzen 7 1700X
1698044400000,124.99,,Ryzen 7 1700X
1698649200000,124.99,,Ryzen 7 1700X
1699257600000,124.99,,Ryzen 7 1700X
1604908800000,0.0,,Ryzen 7 1700
1605513600000,175.0,,Ryzen 7 1700
1606118400000,175.0,,Ryzen 7 1700
1606723200000,175.0,,Ryzen 7 1700
1607328000000,159.99,,Ryzen 7 1700
1607932800000,159.99,,Ryzen 7 1700
1608537600000,164.83,,Ryzen 7 1700
1609142400000,159.99,,Ryzen 7 1700
1609747200000,169.99,,Ryzen 7 1700
1610352000000,169.99,,Ryzen 7 1700
1610956800000,199.99,,Ryzen 7 1700
1611561600000,199.99,,Ryzen 7 1700
1612166400000,199.99,,Ryzen 7 1700
1612771200000,199.99,,Ryzen 7 1700
1613376000000,199.99,,Ryzen 7 1700
1613980800000,199.99,,Ryzen 7 1700
1614585600000,199.99,,Ryzen 7 1700
1615190400000,230.0,,Ryzen 7 1700
1615791600000,249.98,,Ryzen 7 1700
1616396400000,249.98,,Ryzen 7 1700
1617001200000,249.98,,Ryzen 7 1700
1617606000000,249.98,,Ryzen 7 1700
1618210800000,249.98,,Ryzen 7 1700
1618815600000,249.98,,Ryzen 7 1700
1619420400000,249.98,,Ryzen 7 1700
1620025200000,249.98,,Ryzen 7 1700
1620630000000,270.0,,Ryzen 7 1700
1621234800000,270.0,,Ryzen 7 1700
1621839600000,270.0,,Ryzen 7 1700
1622444400000,270.0,,Ryzen 7 1700
1623049200000,270.0,,Ryzen 7 1700
1623654000000,229.95,,Ryzen 7 1700
1624258800000,229.95,,Ryzen 7 1700
1624863600000,229.95,,Ryzen 7 1700
1625468400000,229.95,,Ryzen 7 1700
1626073200000,120.0,,Ryzen 7 1700
1626678000000,120.0,,Ryzen 7 1700
1627282800000,120.0,,Ryzen 7 1700
1627887600000,120.0,,Ryzen 7 1700
1628492400000,120.0,,Ryzen 7 1700
1629097200000,155.0,,Ryzen 7 1700
1629702000000,155.0,,Ryzen 7 1700
1630306800000,155.0,,Ryzen 7 1700
1630911600000,155.0,,Ryzen 7 1700
1631516400000,155.0,,Ryzen 7 1700
1632121200000,155.0,,Ryzen 7 1700
1632726000000,155.0,,Ryzen 7 1700
1633330800000,126.01,,Ryzen 7 1700
1633935600000,126.01,,Ryzen 7 1700
1634540400000,126.01,,Ryzen 7 1700
1635145200000,126.01,,Ryzen 7 1700
1635750000000,126.01,,Ryzen 7 1700
1636358400000,126.01,,Ryzen 7 1700
1636963200000,124.99,,Ryzen 7 1700
1637568000000,124.99,,Ryzen 7 1700
1638172800000,124.99,,Ryzen 7 1700
1638777600000,124.99,,Ryzen 7 1700
1639382400000,124.99,,Ryzen 7 1700
1639987200000,124.99,,Ryzen 7 1700
1640592000000,124.99,,Ryzen 7 1700
1641196800000,219.99,,Ryzen 7 1700
1641801600000,219.99,,Ryzen 7 1700
1642406400000,219.99,,Ryzen 7 1700
1643011200000,219.99,,Ryzen 7 1700
1643616000000,219.99,,Ryzen 7 1700
1644220800000,219.99,,Ryzen 7 1700
1644825600000,344.0,,Ryzen 7 1700
1645430400000,344.0,,Ryzen 7 1700
1646035200000,344.0,,Ryzen 7 1700
1646640000000,344.0,,Ryzen 7 1700
1647241200000,344.0,,Ryzen 7 1700
1647846000000,344.0,,Ryzen 7 1700
1648450800000,344.0,,Ryzen 7 1700
1649055600000,344.0,,Ryzen 7 1700
1649660400000,344.0,,Ryzen 7 1700
1650265200000,344.0,,Ryzen 7 1700
1650870000000,344.0,,Ryzen 7 1700
1651474800000,344.0,,Ryzen 7 1700
1652079600000,344.0,,Ryzen 7 1700
1652684400000,344.0,,Ryzen 7 1700
1653289200000,344.0,,Ryzen 7 1700
1653894000000,344.0,,Ryzen 7 1700
1654498800000,344.0,,Ryzen 7 1700
1655103600000,344.0,,Ryzen 7 1700
1655708400000,344.0,,Ryzen 7 1700
1656313200000,344.0,,Ryzen 7 1700
1656918000000,344.0,,Ryzen 7 1700
1657522800000,344.0,,Ryzen 7 1700
1658127600000,344.0,,Ryzen 7 1700
1658732400000,344.0,,Ryzen 7 1700
1659337200000,344.0,,Ryzen 7 1700
1659942000000,344.0,,Ryzen 7 1700
1660546800000,344.0,,Ryzen 7 1700
1661151600000,344.0,,Ryzen 7 1700
1661756400000,344.0,,Ryzen 7 1700
1662361200000,344.0,,Ryzen 7 1700
1662966000000,344.0,,Ryzen 7 1700
1663570800000,344.0,,Ryzen 7 1700
1664175600000,344.0,,Ryzen 7 1700
1664780400000,344.0,,Ryzen 7 1700
1665385200000,344.0,,Ryzen 7 1700
1665990000000,344.0,,Ryzen 7 1700
1666594800000,100.0,,Ryzen 7 1700
1667199600000,100.0,,Ryzen 7 1700
1667808000000,100.0,,Ryzen 7 1700
1668412800000,100.0,,Ryzen 7 1700
1669017600000,115.0,,Ryzen 7 1700
1669622400000,115.0,,Ryzen 7 1700
1670227200000,115.0,,Ryzen 7 1700
1670832000000,115.0,,Ryzen 7 1700
1671436800000,115.0,,Ryzen 7 1700
1672041600000,115.0,,Ryzen 7 1700
1672646400000,115.0,,Ryzen 7 1700
1673251200000,115.0,,Ryzen 7 1700
1673856000000,115.0,,Ryzen 7 1700
1674460800000,115.0,,Ryzen 7 1700
1675065600000,115.0,,Ryzen 7 1700
1675670400000,115.0,,Ryzen 7 1700
1676275200000,115.0,,Ryzen 7 1700
1676880000000,115.0,,Ryzen 7 1700
1677484800000,115.0,,Ryzen 7 1700
1678089600000,115.0,,Ryzen 7 1700
1678690800000,115.0,,Ryzen 7 1700
1679295600000,115.0,,Ryzen 7 1700
1679900400000,115.0,,Ryzen 7 1700
1680505200000,115.0,,Ryzen 7 1700
1681110000000,115.0,,Ryzen 7 1700
1681714800000,115.0,,Ryzen 7 1700
1682319600000,115.0,,Ryzen 7 1700
1682924400000,115.0,,Ryzen 7 1700
1683529200000,115.0,,Ryzen 7 1700
1684134000000,115.0,,Ryzen 7 1700
1684738800000,115.0,,Ryzen 7 1700
1685343600000,115.0,,Ryzen 7 1700
1685948400000,115.0,,Ryzen 7 1700
1686553200000,115.0,,Ryzen 7 1700
1687158000000,115.0,,Ryzen 7 1700
1687762800000,115.0,,Ryzen 7 1700
1688367600000,130.0,,Ryzen 7 1700
1688972400000,130.0,,Ryzen 7 1700
1689577200000,130.0,,Ryzen 7 1700
1690182000000,130.0,,Ryzen 7 1700
1690786800000,130.0,,Ryzen 7 1700
1691391600000,130.0,,Ryzen 7 1700
1691996400000,130.0,,Ryzen 7 1700
1692601200000,149.99,,Ryzen 7 1700
1693206000000,149.99,,Ryzen 7 1700
1693810800000,149.99,,Ryzen 7 1700
1694415600000,136.66,,Ryzen 7 1700
1695020400000,136.66,,Ryzen 7 1700
1695625200000,129.95,,Ryzen 7 1700
1696230000000,129.95,,Ryzen 7 1700
1696834800000,129.95,,Ryzen 7 1700
1697439600000,129.95,,Ryzen 7 1700
1698044400000,129.95,,Ryzen 7 1700
1698649200000,129.95,,Ryzen 7 1700
1699257600000,129.95,,Ryzen 7 1700
1604908800000,0.0,,Ryzen 7 1800X
1605513600000,0.0,,Ryzen 7 1800X
1606118400000,0.0,,Ryzen 7 1800X
1606723200000,279.48,,Ryzen 7 1800X
1607328000000,279.48,,Ryzen 7 1800X
1607932800000,157.5,,Ryzen 7 1800X
1608537600000,200.0,,Ryzen 7 1800X
1609142400000,200.0,,Ryzen 7 1800X
1609747200000,200.0,,Ryzen 7 1800X
1610352000000,200.0,,Ryzen 7 1800X
1610956800000,200.0,,Ryzen 7 1800X
1611561600000,200.0,,Ryzen 7 1800X
1612166400000,200.0,,Ryzen 7 1800X
1612771200000,200.0,,Ryzen 7 1800X
1613376000000,200.0,,Ryzen 7 1800X
1613980800000,200.0,,Ryzen 7 1800X
1614585600000,200.0,,Ryzen 7 1800X
1615190400000,200.0,,Ryzen 7 1800X
1615791600000,200.0,,Ryzen 7 1800X
1616396400000,200.0,,Ryzen 7 1800X
1617001200000,200.0,,Ryzen 7 1800X
1617606000000,200.0,,Ryzen 7 1800X
1618210800000,200.0,,Ryzen 7 1800X
1618815600000,200.0,,Ryzen 7 1800X
1619420400000,200.0,,Ryzen 7 1800X
1620025200000,200.0,,Ryzen 7 1800X
1620630000000,200.0,,Ryzen 7 1800X
1621234800000,200.0,,Ryzen 7 1800X
1621839600000,200.0,,Ryzen 7 1800X
1622444400000,200.0,,Ryzen 7 1800X
1623049200000,200.0,,Ryzen 7 1800X
1623654000000,200.0,,Ryzen 7 1800X
1624258800000,200.0,,Ryzen 7 1800X
1624863600000,200.0,,Ryzen 7 1800X
1625468400000,200.0,,Ryzen 7 1800X
1626073200000,200.0,,Ryzen 7 1800X
1626678000000,200.0,,Ryzen 7 1800X
1627282800000,200.0,,Ryzen 7 1800X
1627887600000,240.0,,Ryzen 7 1800X
1628492400000,240.0,,Ryzen 7 1800X
1629097200000,240.0,,Ryzen 7 1800X
1629702000000,240.0,,Ryzen 7 1800X
1630306800000,240.0,,Ryzen 7 1800X
1630911600000,240.0,,Ryzen 7 1800X
1631516400000,240.0,,Ryzen 7 1800X
1632121200000,240.0,,Ryzen 7 1800X
1632726000000,240.0,,Ryzen 7 1800X
1633330800000,240.0,,Ryzen 7 1800X
1633935600000,240.0,,Ryzen 7 1800X
1634540400000,240.0,,Ryzen 7 1800X
1635145200000,299.99,,Ryzen 7 1800X
1635750000000,299.99,,Ryzen 7 1800X
1636358400000,299.99,,Ryzen 7 1800X
1636963200000,299.99,,Ryzen 7 1800X
1637568000000,299.99,,Ryzen 7 1800X
1638172800000,299.99,,Ryzen 7 1800X
1638777600000,200.0,,Ryzen 7 1800X
1639382400000,200.0,,Ryzen 7 1800X
1639987200000,200.0,,Ryzen 7 1800X
1640592000000,200.0,,Ryzen 7 1800X
1641196800000,200.0,,Ryzen 7 1800X
1641801600000,200.0,,Ryzen 7 1800X
1642406400000,200.0,,Ryzen 7 1800X
1643011200000,200.0,,Ryzen 7 1800X
1643616000000,182.5,,Ryzen 7 1800X
1644220800000,182.5,,Ryzen 7 1800X
1644825600000,182.5,,Ryzen 7 1800X
1645430400000,199.0,,Ryzen 7 1800X
1646035200000,199.0,,Ryzen 7 1800X
1646640000000,199.0,,Ryzen 7 1800X
1647241200000,199.0,,Ryzen 7 1800X
1647846000000,199.0,,Ryzen 7 1800X
1648450800000,199.0,,Ryzen 7 1800X
1649055600000,199.0,,Ryzen 7 1800X
1649660400000,199.0,,Ryzen 7 1800X
1650265200000,199.0,,Ryzen 7 1800X
1650870000000,199.0,,Ryzen 7 1800X
1651474800000,199.0,,Ryzen 7 1800X
1652079600000,199.0,,Ryzen 7 1800X
1652684400000,199.0,,Ryzen 7 1800X
1653289200000,199.0,,Ryzen 7 1800X
1653894000000,199.0,,Ryzen 7 1800X
