timestamp,price,null,gpu_name
1604908800000,0.0,,gtx 960
1605513600000,99.99,,gtx 960
1606118400000,99.99,,gtx 960
1606723200000,99.99,,gtx 960
1607328000000,99.99,,gtx 960
1607932800000,122.0,,gtx 960
1608537600000,122.0,,gtx 960
1609142400000,101.0,,gtx 960
1609747200000,115.0,,gtx 960
1610352000000,84.95,,gtx 960
1610956800000,110.0,,gtx 960
1611561600000,169.97,,gtx 960
1612166400000,169.97,,gtx 960
1612771200000,103.5,,gtx 960
1613376000000,103.5,,gtx 960
1613980800000,168.16,,gtx 960
1614585600000,219.99,,gtx 960
1615190400000,185.83,,gtx 960
1615791600000,249.99,,gtx 960
1616396400000,147.5,,gtx 960
1617001200000,147.5,,gtx 960
1617606000000,191.9,,gtx 960
1618210800000,224.92,,gtx 960
1618815600000,195.0,,gtx 960
1619420400000,199.0,,gtx 960
1620025200000,199.0,,gtx 960
1620630000000,199.0,,gtx 960
1621234800000,230.0,,gtx 960
1621839600000,219.99,,gtx 960
1622444400000,128.3,,gtx 960
1623049200000,128.3,,gtx 960
1623654000000,206.0,,gtx 960
1624258800000,85.99,,gtx 960
1624863600000,85.99,,gtx 960
1625468400000,85.99,,gtx 960
1626073200000,159.0,,gtx 960
1626678000000,148.0,,gtx 960
1627282800000,148.0,,gtx 960
1627887600000,148.0,,gtx 960
1628492400000,148.0,,gtx 960
1629097200000,185.5,,gtx 960
1629702000000,185.5,,gtx 960
1630306800000,185.5,,gtx 960
1630911600000,190.0,,gtx 960
1631516400000,190.0,,gtx 960
1632121200000,141.5,,gtx 960
1632726000000,141.5,,gtx 960
1633330800000,175.0,,gtx 960
1633935600000,250.81,,gtx 960
1634540400000,250.81,,gtx 960
1635145200000,250.0,,gtx 960
1635750000000,250.0,,gtx 960
1636358400000,250.0,,gtx 960
1636963200000,177.5,,gtx 960
1637568000000,84.0,,gtx 960
1638172800000,84.0,,gtx 960
1638777600000,84.0,,gtx 960
1639382400000,84.0,,gtx 960
1639987200000,142.5,,gtx 960
1640592000000,142.5,,gtx 960
1641196800000,142.5,,gtx 960
1641801600000,142.5,,gtx 960
1642406400000,249.99,,gtx 960
1643011200000,249.99,,gtx 960
1643616000000,249.99,,gtx 960
1644220800000,249.99,,gtx 960
1644825600000,235.66,,gtx 960
1645430400000,235.66,,gtx 960
1646035200000,235.66,,gtx 960
1646640000000,284.97,,gtx 960
1647241200000,284.97,,gtx 960
1647846000000,284.97,,gtx 960
1648450800000,284.97,,gtx 960
1649055600000,284.97,,gtx 960
1649660400000,284.97,,gtx 960
1650265200000,284.97,,gtx 960
1650870000000,284.97,,gtx 960
1651474800000,284.97,,gtx 960
1652079600000,199.99,,gtx 960
1652684400000,199.99,,gtx 960
1653289200000,199.99,,gtx 960
1653894000000,199.99,,gtx 960
1654498800000,199.99,,gtx 960
1655103600000,199.99,,gtx 960
1655708400000,199.99,,gtx 960
1656313200000,199.99,,gtx 960
1656918000000,199.99,,gtx 960
1657522800000,199.99,,gtx 960
1658127600000,199.99,,gtx 960
1658732400000,199.99,,gtx 960
1659337200000,199.99,,gtx 960
1659942000000,91.0,,gtx 960
1660546800000,91.0,,gtx 960
1661151600000,91.0,,gtx 960
1661756400000,91.0,,gtx 960
1662361200000,91.0,,gtx 960
1662966000000,91.0,,gtx 960
1663570800000,91.0,,gtx 960
1664175600000,91.0,,gtx 960
1664780400000,220.0,,gtx 960
1665385200000,220.0,,gtx 960
1665990000000,220.0,,gtx 960
1666594800000,220.0,,gtx 960
1667199600000,220.0,,gtx 960
1667808000000,220.0,,gtx 960
1668412800000,220.0,,gtx 960
1669017600000,220.0,,gtx 960
1669622400000,220.0,,gtx 960
1670227200000,220.0,,gtx 960
1670832000000,220.0,,gtx 960
1671436800000,220.0,,gtx 960
1672041600000,220.0,,gtx 960
1672646400000,220.0,,gtx 960
1673251200000,220.0,,gtx 960
1673856000000,80.0,,gtx 960
1674460800000,80.0,,gtx 960
1675065600000,80.0,,gtx 960
1675670400000,80.0,,gtx 960
1676275200000,150.0,,gtx 960
1676880000000,150.0,,gtx 960
1677484800000,190.0,,gtx 960
1678089600000,190.0,,gtx 960
1678690800000,190.0,,gtx 960
1679295600000,190.0,,gtx 960
1679900400000,190.0,,gtx 960
1680505200000,190.0,,gtx 960
1681110000000,190.0,,gtx 960
1681714800000,139.99,,gtx 960
1682319600000,139.99,,gtx 960
1682924400000,139.99,,gtx 960
1683529200000,139.99,,gtx 960
1684134000000,139.99,,gtx 960
1684738800000,139.99,,gtx 960
1685343600000,139.99,,gtx 960
1685948400000,139.99,,gtx 960
1686553200000,139.99,,gtx 960
1687158000000,139.99,,gtx 960
1687762800000,180.0,,gtx 960
1688367600000,179.99,,gtx 960
1688972400000,179.99,,gtx 960
1689577200000,100.0,,gtx 960
1690182000000,100.0,,gtx 960
1690786800000,100.0,,gtx 960
1691391600000,100.0,,gtx 960
1691996400000,100.0,,gtx 960
1692601200000,100.0,,gtx 960
1693206000000,100.0,,gtx 960
1693810800000,100.0,,gtx 960
1694415600000,100.0,,gtx 960
1695020400000,100.0,,gtx 960
1695625200000,180.0,,gtx 960
1696230000000,97.99,,gtx 960
1696834800000,97.99,,gtx 960
1697439600000,97.99,,gtx 960
1698044400000,97.99,,gtx 960
1698649200000,97.99,,gtx 960
1699257600000,97.99,,gtx 960
1604908800000,0.0,,gtx 970
1605513600000,179.0,,gtx 970
1606118400000,250.0,,gtx 970
1606723200000,174.5,,gtx 970
1607328000000,191.0,,gtx 970
1607932800000,179.0,,gtx 970
1608537600000,178.5,,gtx 970
1609142400000,178.5,,gtx 970
1609747200000,178.5,,gtx 970
1610352000000,184.5,,gtx 970
1610956800000,172.0,,gtx 970
1611561600000,172.0,,gtx 970
1612166400000,172.0,,gtx 970
1612771200000,150.0,,gtx 970
1613376000000,150.0,,gtx 970
1613980800000,300.0,,gtx 970
1614585600000,300.0,,gtx 970
1615190400000,122.5,,gtx 970
1615791600000,184.0,,gtx 970
1616396400000,189.5,,gtx 970
1617001200000,189.5,,gtx 970
1617606000000,239.5,,gtx 970
1618210800000,200.0,,gtx 970
1618815600000,270.0,,gtx 970
1619420400000,295.0,,gtx 970
1620025200000,295.0,,gtx 970
1620630000000,295.0,,gtx 970
1621234800000,259.67,,gtx 970
1621839600000,234.0,,gtx 970
1622444400000,290.0,,gtx 970
1623049200000,259.0,,gtx 970
1623654000000,259.0,,gtx 970
1624258800000,300.0,,gtx 970
1624863600000,300.0,,gtx 970
1625468400000,290.0,,gtx 970
1626073200000,290.0,,gtx 970
1626678000000,290.0,,gtx 970
1627282800000,290.0,,gtx 970
1627887600000,168.75,,gtx 970
1628492400000,195.67,,gtx 970
1629097200000,215.25,,gtx 970
1629702000000,287.0,,gtx 970
1630306800000,256.15,,gtx 970
1630911600000,194.5,,gtx 970
1631516400000,179.0,,gtx 970
1632121200000,179.0,,gtx 970
1632726000000,179.0,,gtx 970
1633330800000,179.0,,gtx 970
1633935600000,179.0,,gtx 970
1634540400000,179.0,,gtx 970
1635145200000,179.0,,gtx 970
1635750000000,179.0,,gtx 970
1636358400000,179.0,,gtx 970
1636963200000,179.0,,gtx 970
1637568000000,179.0,,gtx 970
1638172800000,179.0,,gtx 970
1638777600000,179.0,,gtx 970
1639382400000,227.0,,gtx 970
1639987200000,227.0,,gtx 970
1640592000000,227.0,,gtx 970
1641196800000,227.0,,gtx 970
1641801600000,193.0,,gtx 970
1642406400000,280.0,,gtx 970
1643011200000,246.0,,gtx 970
1643616000000,246.0,,gtx 970
1644220800000,250.0,,gtx 970
1644825600000,250.0,,gtx 970
1645430400000,250.0,,gtx 970
1646035200000,250.0,,gtx 970
1646640000000,179.0,,gtx 970
1647241200000,295.0,,gtx 970
1647846000000,185.0,,gtx 970
1648450800000,185.0,,gtx 970
1649055600000,130.0,,gtx 970
1649660400000,130.0,,gtx 970
1650265200000,130.0,,gtx 970
1650870000000,130.0,,gtx 970
1651474800000,130.0,,gtx 970
1652079600000,130.0,,gtx 970
1652684400000,125.0,,gtx 970
1653289200000,125.0,,gtx 970
1653894000000,125.0,,gtx 970
1654498800000,149.5,,gtx 970
1655103600000,179.0,,gtx 970
1655708400000,179.0,,gtx 970
1656313200000,179.0,,gtx 970
1656918000000,179.0,,gtx 970
1657522800000,179.0,,gtx 970
1658127600000,179.0,,gtx 970
1658732400000,179.0,,gtx 970
1659337200000,166.99,,gtx 970
1659942000000,166.99,,gtx 970
1660546800000,175.0,,gtx 970
1661151600000,144.5,,gtx 970
1661756400000,144.5,,gtx 970
1662361200000,144.5,,gtx 970
1662966000000,175.0,,gtx 970
1663570800000,175.0,,gtx 970
1664175600000,175.0,,gtx 970
1664780400000,200.0,,gtx 970
1665385200000,200.0,,gtx 970
1665990000000,200.0,,gtx 970
1666594800000,135.83,,gtx 970
1667199600000,135.83,,gtx 970
1667808000000,135.83,,gtx 970
1668412800000,135.83,,gtx 970
1669017600000,110.0,,gtx 970
1669622400000,110.0,,gtx 970
1670227200000,110.0,,gtx 970
1670832000000,146.08,,gtx 970
1671436800000,146.08,,gtx 970
1672041600000,146.08,,gtx 970
1672646400000,146.08,,gtx 970
1673251200000,146.08,,gtx 970
1673856000000,146.08,,gtx 970
1674460800000,146.08,,gtx 970
1675065600000,146.08,,gtx 970
1675670400000,146.08,,gtx 970
1676275200000,146.08,,gtx 970
1676880000000,103.0,,gtx 970
1677484800000,103.0,,gtx 970
1678089600000,103.0,,gtx 970
1678690800000,103.0,,gtx 970
1679295600000,92.0,,gtx 970
1679900400000,92.0,,gtx 970
1680505200000,80.0,,gtx 970
1681110000000,80.0,,gtx 970
1681714800000,152.67,,gtx 970
1682319600000,152.67,,gtx 970
1682924400000,152.67,,gtx 970
1683529200000,152.67,,gtx 970
1684134000000,152.67,,gtx 970
1684738800000,152.67,,gtx 970
1685343600000,225.0,,gtx 970
1685948400000,225.0,,gtx 970
1686553200000,225.0,,gtx 970
1687158000000,159.99,,gtx 970
1687762800000,159.99,,gtx 970
1688367600000,159.99,,gtx 970
1688972400000,159.99,,gtx 970
1689577200000,159.99,,gtx 970
1690182000000,159.99,,gtx 970
1690786800000,159.99,,gtx 970
1691391600000,159.99,,gtx 970
1691996400000,159.99,,gtx 970
1692601200000,159.99,,gtx 970
1693206000000,150.36,,gtx 970
1693810800000,150.36,,gtx 970
1694415600000,150.36,,gtx 970
1695020400000,169.99,,gtx 970
1695625200000,169.99,,gtx 970
1696230000000,169.99,,gtx 970
1696834800000,169.99,,gtx 970
1697439600000,169.99,,gtx 970
1698044400000,169.99,,gtx 970
1698649200000,169.99,,gtx 970
1699257600000,169.99,,gtx 970
1604908800000,130.0,,gtx 980
1605513600000,226.0,,gtx 980
1606118400000,251.67,,gtx 980
1606723200000,251.67,,gtx 980
1607328000000,252.91,,gtx 980
1607932800000,300.0,,gtx 980
1608537600000,199.97,,gtx 980
1609142400000,300.0,,gtx 980
1609747200000,252.5,,gtx 980
1610352000000,252.5,,gtx 980
1610956800000,221.75,,gtx 980
1611561600000,221.75,,gtx 980
1612166400000,150.0,,gtx 980
1612771200000,150.0,,gtx 980
1613376000000,250.01,,gtx 980
1613980800000,250.01,,gtx 980
1614585600000,250.01,,gtx 980
1615190400000,227.5,,gtx 980
1615791600000,227.5,,gtx 980
1616396400000,236.67,,gtx 980
1617001200000,236.67,,gtx 980
1617606000000,236.67,,gtx 980
1618210800000,236.67,,gtx 980
1618815600000,229.0,,gtx 980
1619420400000,229.0,,gtx 980
1620025200000,285.0,,gtx 980
1620630000000,294.57,,gtx 980
1621234800000,294.57,,gtx 980
1621839600000,286.0,,gtx 980
1622444400000,286.0,,gtx 980
1623049200000,286.0,,gtx 980
1623654000000,286.0,,gtx 980
1624258800000,286.0,,gtx 980
1624863600000,286.0,,gtx 980
1625468400000,286.0,,gtx 980
1626073200000,227.0,,gtx 980
1626678000000,294.0,,gtx 980
1627282800000,294.0,,gtx 980
1627887600000,294.0,,gtx 980
1628492400000,294.0,,gtx 980
1629097200000,294.0,,gtx 980
1629702000000,294.0,,gtx 980
1630306800000,294.0,,gtx 980
1630911600000,294.0,,gtx 980
1631516400000,294.0,,gtx 980
1632121200000,294.0,,gtx 980
1632726000000,294.0,,gtx 980
1633330800000,158.0,,gtx 980
1633935600000,300.0,,gtx 980
1634540400000,300.0,,gtx 980
1635145200000,300.0,,gtx 980
1635750000000,300.0,,gtx 980
1636358400000,300.0,,gtx 980
1636963200000,300.0,,gtx 980
1637568000000,300.0,,gtx 980
1638172800000,300.0,,gtx 980
1638777600000,300.0,,gtx 980
1639382400000,300.0,,gtx 980
1639987200000,300.0,,gtx 980
1640592000000,300.0,,gtx 980
1641196800000,300.0,,gtx 980
1641801600000,300.0,,gtx 980
1642406400000,300.0,,gtx 980
1643011200000,300.0,,gtx 980
1643616000000,300.0,,gtx 980
1644220800000,300.0,,gtx 980
1644825600000,300.0,,gtx 980
1645430400000,300.0,,gtx 980
1646035200000,228.65,,gtx 980
1646640000000,228.65,,gtx 980
1647241200000,228.65,,gtx 980
