timestamp,price,null,gpu_name
1349679600000,0.0,,gtx 960
1350284400000,0.0,,gtx 960
1350889200000,0.0,,gtx 960
1351494000000,0.0,,gtx 960
1352102400000,0.0,,gtx 960
1352707200000,0.0,,gtx 960
1353312000000,0.0,,gtx 960
1353916800000,0.0,,gtx 960
1354521600000,0.0,,gtx 960
1355126400000,0.0,,gtx 960
1355731200000,0.0,,gtx 960
1356336000000,0.0,,gtx 960
1356940800000,0.0,,gtx 960
1357545600000,0.0,,gtx 960
1358150400000,0.0,,gtx 960
1358755200000,0.0,,gtx 960
1359360000000,0.0,,gtx 960
1359964800000,0.0,,gtx 960
1360569600000,0.0,,gtx 960
1361174400000,0.0,,gtx 960
1361779200000,0.0,,gtx 960
1362384000000,0.0,,gtx 960
1362985200000,0.0,,gtx 960
1363590000000,0.0,,gtx 960
1364194800000,0.0,,gtx 960
1364799600000,0.0,,gtx 960
1365404400000,0.0,,gtx 960
1366009200000,0.0,,gtx 960
1366614000000,0.0,,gtx 960
1367218800000,0.0,,gtx 960
1367823600000,0.0,,gtx 960
1368428400000,0.0,,gtx 960
1369033200000,0.0,,gtx 960
1369638000000,0.0,,gtx 960
1370242800000,0.0,,gtx 960
1370847600000,0.0,,gtx 960
1371452400000,0.0,,gtx 960
1372057200000,0.0,,gtx 960
1372662000000,0.0,,gtx 960
1373266800000,0.0,,gtx 960
1373871600000,0.0,,gtx 960
1374476400000,0.0,,gtx 960
1375081200000,0.0,,gtx 960
1375686000000,0.0,,gtx 960
1376290800000,0.0,,gtx 960
1376895600000,0.0,,gtx 960
1377500400000,0.0,,gtx 960
1378105200000,0.0,,gtx 960
1378710000000,0.0,,gtx 960
1379314800000,0.0,,gtx 960
1379919600000,0.0,,gtx 960
1380524400000,0.0,,gtx 960
1381129200000,0.0,,gtx 960
1381734000000,0.0,,gtx 960
1382338800000,0.0,,gtx 960
1382943600000,0.0,,gtx 960
1383552000000,0.0,,gtx 960
1384156800000,0.0,,gtx 960
1384761600000,0.0,,gtx 960
1385366400000,0.0,,gtx 960
1385971200000,0.0,,gtx 960
1386576000000,0.0,,gtx 960
1387180800000,0.0,,gtx 960
1387785600000,0.0,,gtx 960
